"","Assemblage","Diversity","Observed","Estimator","s.e.","LCL","UCL"
"166","ÁREA DE PROTEÇÃO AMBIENTAL DOS PIRENEUS","Species richness",31,57.8767123287671,20.9104982743597,31,98.8605358452991
"167","ÁREA DE PROTEÇÃO AMBIENTAL DOS PIRENEUS","Shannon diversity",6.01343958293076,6.91790450023022,0.863094397096114,5.22627056666353,8.60953843379692
"168","ÁREA DE PROTEÇÃO AMBIENTAL DOS PIRENEUS","Simpson diversity",3.05192491250398,3.0809241094476,0.276756881927949,2.53849058839522,3.62335763049999
"169","ÁREA DE PROTEÇÃO AMBIENTAL DUNAS E VEREDAS DO BAIXO MÉDIO SÃO FRANCISCO","Species richness",31,33.7048832271762,6.14907265243515,31,45.7568441642693
"170","ÁREA DE PROTEÇÃO AMBIENTAL DUNAS E VEREDAS DO BAIXO MÉDIO SÃO FRANCISCO","Shannon diversity",20.0913850911944,22.5571393194726,1.72639865243446,19.1734601377425,25.9408185012026
"171","ÁREA DE PROTEÇÃO AMBIENTAL DUNAS E VEREDAS DO BAIXO MÉDIO SÃO FRANCISCO","Simpson diversity",14.8936555891239,16.3497997329773,1.74288769806923,12.9338026156637,19.7657968502909
"172","ÁREA DE PROTEÇÃO AMBIENTAL ESTADUAL DA ESCARPA DEVONIANA","Species richness",60,66.3846153846154,7.51625561500324,60,81.1162056886187
"173","ÁREA DE PROTEÇÃO AMBIENTAL ESTADUAL DA ESCARPA DEVONIANA","Shannon diversity",24.1950199389854,26.4268825947071,1.56746466507135,23.3547083041281,29.4990568852861
"174","ÁREA DE PROTEÇÃO AMBIENTAL ESTADUAL DA ESCARPA DEVONIANA","Simpson diversity",13.3737248840804,13.7847333120409,0.975377268127841,11.8730289951713,15.6964376289105
"175","ÁREA DE PROTEÇÃO AMBIENTAL ESTADUAL DELTA DO JACUÍ","Species richness",43,103.04462474645,34.718584602541,43,171.091800161638
"176","ÁREA DE PROTEÇÃO AMBIENTAL ESTADUAL DELTA DO JACUÍ","Shannon diversity",13.9297866162747,15.2753959360546,0.947805903048393,13.4177305017453,17.1330613703639
"177","ÁREA DE PROTEÇÃO AMBIENTAL ESTADUAL DELTA DO JACUÍ","Simpson diversity",8.86748878105731,9.01159161836826,0.508246216294396,8.01544733915249,10.007735897584
"178","ÁREA DE PROTEÇÃO AMBIENTAL ESTRADA PARQUE DE PIRAPUTANGA","Species richness",29,137.71875,88.3061415627656,29,310.795607076716
"179","ÁREA DE PROTEÇÃO AMBIENTAL ESTRADA PARQUE DE PIRAPUTANGA","Shannon diversity",16.192659940541,31.424618800237,11.2210556964926,9.43175376659343,53.4174838338806
"180","ÁREA DE PROTEÇÃO AMBIENTAL ESTRADA PARQUE DE PIRAPUTANGA","Simpson diversity",9.39130434782609,10.65,2.94507871012648,4.87775179651645,16.4222482034836
"181","ÁREA DE PROTEÇÃO AMBIENTAL FERNÃO DIAS","Species richness",72,106.070818070818,14.5574089019653,77.5388209147433,134.602815226893
"182","ÁREA DE PROTEÇÃO AMBIENTAL FERNÃO DIAS","Shannon diversity",17.7819526514608,19.807313164806,1.49565150885107,16.8758900740349,22.738736255577
"183","ÁREA DE PROTEÇÃO AMBIENTAL FERNÃO DIAS","Simpson diversity",9.11781257646196,9.25567651632973,0.540534049613269,8.19624924667014,10.3151037859893
"184","ÁREA DE PROTEÇÃO AMBIENTAL HARAS SÃO BERNARDO","Species richness",5,5.48648648648649,1.35774004435776,5,8.14760807379552
"185","ÁREA DE PROTEÇÃO AMBIENTAL HARAS SÃO BERNARDO","Shannon diversity",3.55466367459002,3.8028592652476,0.481442575159959,2.85924915730986,4.74646937318534
"186","ÁREA DE PROTEÇÃO AMBIENTAL HARAS SÃO BERNARDO","Simpson diversity",3.03547671840355,3.21739130434783,0.438786599530631,2.35738537236899,4.07739723632667
"187","ÁREA DE PROTEÇÃO AMBIENTAL IBIRAPUITÃ","Species richness",12,18.1079545454545,9.03298473238971,12,35.8122792938385
"188","ÁREA DE PROTEÇÃO AMBIENTAL IBIRAPUITÃ","Shannon diversity",8.03280178933464,9.95980462700057,1.66631559482478,6.69388607426655,13.2257231797346
"189","ÁREA DE PROTEÇÃO AMBIENTAL IBIRAPUITÃ","Simpson diversity",6.2051282051282,7.05970149253732,1.22191000688484,4.66480188669395,9.45460109838069
"190","ÁREA DE PROTEÇÃO AMBIENTAL IGARAPÉ SÃO FRANCISCO","Species richness",14,38.3055555555556,23.0841496562095,14,83.5496574954589
"191","ÁREA DE PROTEÇÃO AMBIENTAL IGARAPÉ SÃO FRANCISCO","Shannon diversity",6.42979142401201,10.5283320840318,3.913183455241,2.85863344686142,18.1980307212022
"192","ÁREA DE PROTEÇÃO AMBIENTAL IGARAPÉ SÃO FRANCISCO","Simpson diversity",3.34020618556701,3.57954545454545,1.14435298024607,1.33665482766207,5.82243608142883
"193","ÁREA DE PROTEÇÃO AMBIENTAL ILHA DO BANANAL/CANTÃO","Species richness",19,33.9689440993789,13.7410475746421,19,60.9009024555288
"194","ÁREA DE PROTEÇÃO AMBIENTAL ILHA DO BANANAL/CANTÃO","Shannon diversity",4.8298922150099,4.99154128427734,0.348756800675575,4.3079905155898,5.67509205296488
"195","ÁREA DE PROTEÇÃO AMBIENTAL ILHA DO BANANAL/CANTÃO","Simpson diversity",2.80520183254572,2.81574746008708,0.181757513083725,2.45950928052342,3.17198563965075
"196","ÁREA DE PROTEÇÃO AMBIENTAL ILHAS E VÁRZEAS DO RIO PARANÁ","Species richness",105,138.783015075377,14.9370180014059,109.506997756195,168.059032394559
"197","ÁREA DE PROTEÇÃO AMBIENTAL ILHAS E VÁRZEAS DO RIO PARANÁ","Shannon diversity",40.7276553078818,42.2601625617406,1.21481455564149,39.8791697847883,44.6411553386929
"198","ÁREA DE PROTEÇÃO AMBIENTAL ILHAS E VÁRZEAS DO RIO PARANÁ","Simpson diversity",23.0632592920457,23.3219613943293,1.18185704626105,21.0055641487828,25.6383586398759
"199","ÁREA DE PROTEÇÃO AMBIENTAL JALAPÃO","Species richness",11,23.3355263157895,11.049690901722,11,44.9925225234645
"200","ÁREA DE PROTEÇÃO AMBIENTAL JALAPÃO","Shannon diversity",5.2264524121319,6.01676541598421,1.06969179843425,3.92020801649521,8.11332281547321
"201","ÁREA DE PROTEÇÃO AMBIENTAL JALAPÃO","Simpson diversity",3.75064935064935,3.89344262295082,0.544107708502623,2.82701111057506,4.95987413532658
"202","ÁREA DE PROTEÇÃO AMBIENTAL JOÃO LEITE","Species richness",35,57.4232081911263,24.001914571498,35,104.466096311269
"203","ÁREA DE PROTEÇÃO AMBIENTAL JOÃO LEITE","Shannon diversity",8.51723530494847,9.44220216919298,1.01444483261183,7.45392683297103,11.4304775054149
"204","ÁREA DE PROTEÇÃO AMBIENTAL JOÃO LEITE","Simpson diversity",3.86933790057241,3.90773727962,0.389307304104361,3.14470898465707,4.67076557458293
"205","ÁREA DE PROTEÇÃO AMBIENTAL LAGO DE PALMAS","Species richness",8,9.98058252427185,2.56218537766054,8,15.0023735862016
"206","ÁREA DE PROTEÇÃO AMBIENTAL LAGO DE PALMAS","Shannon diversity",3.04655176656071,3.1962716257291,0.356564799003336,2.4974174615278,3.8951257899304
